x,y,z
0.0,0.0,-0.0
0.6344143603,0.0,-0.2981715507
0.6344227616,-0.1142447421,-0.2741340584
0.6344412443,-0.2092239419,-0.2092239419
0.634459727,-0.2741340584,-0.1142447421
0.6344681283,-0.2981715507,1.387778781e-17
0.634459727,-0.2741340584,0.1142447421
0.6344412443,-0.2092239419,0.2092239419
0.6344227616,-0.1142447421,0.2741340584
0.6344143603,-1.387778781e-17,0.2981715507
0.6344227616,0.1142447421,0.2741340584
0.6344412443,0.2092239419,0.2092239419
0.634459727,0.2741340584,0.1142447421
0.6344681283,0.2981715507,1.431146868e-17
0.634459727,0.2741340584,-0.1142447421
0.6344412443,0.2092239419,-0.2092239419
0.6344227616,0.1142447421,-0.2741340584
1.139405476,0.0,-0.4346590909
1.139405476,-0.1691211366,-0.4004788258
1.139405476,-0.3072901265,-0.3072901265
1.139405476,-0.4004788258,-0.1691211366
1.139405476,-0.4346590909,-8.217301096e-33
1.139405476,-0.4004788258,0.1691211366
1.139405476,-0.3072901265,0.3072901265
1.139405476,-0.1691211366,0.4004788258
1.139405476,0.0,0.4346590909
1.139405476,0.1691211366,0.4004788258
1.139405476,0.3072901265,0.3072901265
1.139405476,0.4004788258,0.1691211366
1.139405476,0.4346590909,-0.0
1.139405476,0.4004788258,-0.1691211366
1.139405476,0.3072901265,-0.3072901265
1.139405476,0.1691211366,-0.4004788258
1.429631759,-0.025,-0.82521735
1.429434849,-0.2204738712,-0.7583500128
1.419839668,-0.3799007279,-0.5812609143
1.40906628,-0.4887317003,-0.3200516527
1.404015052,-0.529149631,-3.469446952e-17
1.40906628,-0.4887317003,0.3200516527
1.419839668,-0.3799007279,0.5812609143
1.429434849,-0.2204738712,0.7583500128
1.429631759,-0.025,0.82521735
1.415552365,0.1719753419,0.7638266771
1.397006461,0.337866785,0.5892269714
1.385083402,0.4584312615,0.325528317
1.381302963,0.5056195807,-3.160682773e-17
1.385083402,0.4584312615,-0.325528317
1.397006461,0.337866785,-0.5892269714
1.415552365,0.1719753419,-0.7638266771
1.616332358,-0.05,-1.3
1.616332358,-0.3066553231,-1.197771965
1.616332358,-0.5163382016,-0.9190585744
1.616332358,-0.6577597662,-0.5058158962
1.616332358,-0.7096311475,-0.0
1.616332358,-0.6577597662,0.5058158962
1.616332358,-0.5163382016,0.9190585744
1.616332358,-0.3066553231,1.197771965
1.616332358,-0.05,1.3
1.616332358,0.2066553231,1.197771965
1.616332358,0.4163382016,0.9190585744
1.616332358,0.5577597662,0.5058158962
1.616332358,0.6096311475,-0.0
1.616332358,0.5577597662,-0.5058158962
1.616332358,0.4163382016,-0.9190585744
1.616332358,0.2066553231,-1.197771965
1.837647459,-0.06883381924,-1.417942844
1.820962601,-0.369623567,-1.30430618
1.808192983,-0.6115101111,-0.9940765399
1.798715282,-0.7641836148,-0.5441470063
1.794871002,-0.8164894192,4.563890568e-17
1.798715282,-0.7641836148,0.5441470063
